ts,heatpump_cop_gs,heatpump_cop_as,pv_availability_factor,wind_availability_factor
92,5.58,3.23,0,0.672
93,5.58,3.23,0,0.702
94,5.58,3.22,0,0.726
95,5.58,3.22,0,0.748
96,5.59,3.22,0,0.756
97,5.59,3.22,0,0.765
98,5.59,3.22,0,0.754
99,5.6,3.22,0,0.751
100,5.6,3.23,0,0.759
101,5.6,3.23,0,0.788
102,5.6,3.22,0,0.817
103,5.6,3.23,0,0.851
104,5.6,3.22,0.005,0.901
105,5.6,3.22,0.015,0.918
106,5.59,3.22,0.026,0.929
107,5.59,3.22,0.038,0.943
108,5.81,3.29,0.049,0.952
109,5.8,3.29,0.072,0.945
110,5.8,3.29,0.057,0.923
111,5.81,3.29,0.013,0.921
112,5.81,3.3,0,0.895
113,5.81,3.3,0,0.87
114,5.53,3.2,0,0.862
115,5.53,3.2,0,0.814
116,5.53,3.2,0,0.784
117,5.53,3.2,0,0.764
118,5.53,3.2,0,0.741
119,5.53,3.2,0,0.762
120,5.34,3.13,0,0.762
121,5.35,3.13,0,0.75
122,5.34,3.13,0,0.733
123,5.34,3.13,0,0.729
124,5.35,3.13,0,0.717
125,5.35,3.14,0,0.772
126,5.28,3.11,0,0.8
127,5.28,3.11,0,0.812
128,5.28,3.11,0.12,0.808
129,5.28,3.11,0.272,0.806
130,5.28,3.11,0.304,0.819
131,5.28,3.11,0.266,0.853
132,5.56,3.21,0.27,0.837
133,5.56,3.21,0.156,0.792
134,5.56,3.21,0.114,0.78
135,5.56,3.21,0.025,0.814
136,5.56,3.21,0,0.844
137,5.56,3.21,0,0.838
138,5.35,3.13,0,0.818
139,5.35,3.14,0,0.755
140,5.36,3.14,0,0.674
141,5.35,3.14,0,0.572
142,5.35,3.14,0,0.485
143,5.35,3.13,0,0.413
144,5.37,3.14,0,0.349
145,5.37,3.14,0,0.317
146,5.37,3.14,0,0.267
147,5.37,3.14,0,0.253
148,5.37,3.14,0,0.212
149,5.37,3.14,0,0.156
150,5.11,3.05,0,0.112
151,5.11,3.05,0,0.071
152,5.11,3.05,0.09,0.037
153,5.11,3.05,0.207,0.025
154,5.11,3.05,0.219,0.027
155,5.11,3.05,0.229,0.028
156,5.16,3.07,0.232,0.031
157,5.16,3.07,0.19,0.035
158,5.16,3.07,0.1,0.031
159,5.16,3.07,0.021,0.019
160,5.16,3.07,0,0.011
161,5.16,3.07,0,0.013
162,4.99,3.01,0,0.024
163,4.99,3.01,0,0.036
164,4.99,3.01,0,0.052
165,4.99,3.01,0,0.097
166,4.99,3.01,0,0.16
167,4.99,3.01,0,0.241
168,4.85,2.95,0,0.332
169,4.85,2.95,0,0.409
170,4.85,2.95,0,0.433
171,4.85,2.95,0,0.394
172,4.85,2.95,0,0.343
173,4.85,2.95,0,0.374
174,4.83,2.94,0,0.473
175,4.83,2.94,0,0.482
176,4.83,2.94,0.005,0.483
177,4.83,2.94,0.026,0.45
178,4.83,2.94,0.067,0.438
179,4.83,2.94,0.107,0.468
180,5.1,3.04,0.245,0.56
181,5.1,3.04,0.358,0.698
182,5.1,3.04,0.142,0.78
183,5.1,3.04,0.015,0.82
184,5.1,3.04,0,0.88
185,5.1,3.04,0,0.929
186,5.03,3.02,0,0.949
187,5.03,3.02,0,0.956
188,5.03,3.02,0,0.953
189,5.03,3.02,0,0.945
190,5.03,3.02,0,0.917
191,5.03,3.02,0,0.903
192,5.07,3.03,0,0.894
193,5.07,3.03,0,0.868
194,5.07,3.03,0,0.807
195,5.07,3.03,0,0.755
196,5.07,3.03,0,0.72
197,5.07,3.03,0,0.67
198,5.11,3.04,0,0.618
199,5.11,3.04,0,0.608
200,5.11,3.04,0.03,0.591
201,5.11,3.04,0.088,0.522
202,5.11,3.04,0.12,0.476
203,5.11,3.04,0.101,0.492
204,5.48,3.18,0.069,0.482
205,5.48,3.18,0.047,0.433
206,5.48,3.18,0.026,0.416
207,5.48,3.18,0.006,0.457
208,5.48,3.18,0,0.537
209,5.48,3.18,0,0.574
210,5.12,3.04,0,0.559
211,5.12,3.04,0,0.568
212,5.12,3.04,0,0.538
213,5.12,3.04,0,0.519
214,5.12,3.04,0,0.479
215,5.12,3.04,0,0.421
216,4.96,2.97,0,0.379
217,4.96,2.97,0,0.335
218,4.96,2.97,0,0.311
219,4.96,2.97,0,0.305
220,4.96,2.98,0,0.278
221,4.96,2.98,0,0.27
222,4.97,2.98,0,0.291
223,4.97,2.98,0,0.325
224,4.97,2.98,0.027,0.352
225,4.97,2.98,0.072,0.344
226,4.97,2.98,0.111,0.379
227,4.97,2.98,0.155,0.466
228,5.26,3.09,0.179,0.55
229,5.26,3.09,0.178,0.61
230,5.26,3.09,0.1,0.605
231,5.26,3.09,0.025,0.615
232,5.26,3.09,0,0.65
233,5.26,3.09,0,0.657
234,5.17,3.05,0,0.617
235,5.17,3.05,0,0.607
236,5.17,3.05,0,0.596
237,5.17,3.05,0,0.658
238,5.17,3.05,0,0.697
239,5.17,3.05,0,0.726
240,4.99,2.98,0,0.707
241,4.99,2.98,0,0.682
242,4.99,2.98,0,0.669
243,4.99,2.98,0,0.665
244,4.99,2.98,0,0.672
245,4.99,2.98,0,0.674
246,4.96,2.97,0,0.65
247,4.96,2.97,0,0.633
248,4.95,2.97,0.103,0.665
249,4.95,2.97,0.304,0.634
250,4.95,2.97,0.461,0.68
251,4.95,2.97,0.502,0.703
252,4.93,2.96,0.487,0.697
253,4.93,2.96,0.435,0.678
254,4.93,2.96,0.33,0.637
255,4.93,2.96,0.118,0.583
256,4.93,2.96,0,0.599
257,4.93,2.96,0,0.589
258,4.61,2.84,0,0.645
259,4.61,2.84,0,0.734
260,4.61,2.84,0,0.813
261,4.61,2.84,0,0.829
262,4.61,2.84,0,0.854
263,4.6,2.84,0,0.862
264,4.44,2.77,0,0.879
265,4.44,2.77,0,0.9
266,4.44,2.78,0,0.893
267,4.44,2.78,0,0.913
268,4.44,2.78,0,0.925
269,4.44,2.78,0,0.919
270,4.46,2.78,0,0.923
271,4.46,2.78,0,0.918
272,4.46,2.78,0.074,0.908
273,4.46,2.78,0.177,0.857
274,4.46,2.78,0.299,0.791
275,4.46,2.78,0.328,0.82
276,4.74,2.88,0.338,0.838
277,4.74,2.88,0.31,0.829
278,4.74,2.88,0.162,0.829
279,4.74,2.88,0.029,0.825
280,4.74,2.88,0,0.846
281,4.74,2.88,0,0.848
282,4.49,2.79,0,0.836
283,4.49,2.79,0,0.802
284,4.49,2.79,0,0.856
285,4.49,2.79,0,0.868
286,4.49,2.79,0,0.871
287,4.49,2.79,0,0.878
288,4.36,2.73,0,0.875
289,4.36,2.73,0,0.86
290,4.36,2.73,0,0.821
291,4.36,2.73,0,0.796
292,4.36,2.73,0,0.793
293,4.36,2.73,0,0.732
294,4.31,2.72,0,0.714
295,4.31,2.72,0,0.728
296,4.31,2.72,0.087,0.739
297,4.31,2.72,0.215,0.711
298,4.31,2.72,0.344,0.711
299,4.31,2.72,0.405,0.829
300,4.54,2.81,0.357,0.874
301,4.54,2.81,0.312,0.84
302,4.54,2.81,0.23,0.79
303,4.54,2.81,0.04,0.748
304,4.54,2.81,0,0.703
305,4.54,2.81,0,0.77
306,4.46,2.77,0,0.835
307,4.46,2.77,0,0.853
308,4.46,2.77,0,0.882
309,4.46,2.77,0,0.913
310,4.46,2.77,0,0.932
311,4.46,2.77,0,0.951
312,4.41,2.75,0,0.957
313,4.41,2.75,0,0.964
314,4.41,2.75,0,0.952
315,4.41,2.75,0,0.953
316,4.41,2.75,0,0.954
317,4.41,2.75,0,0.96
318,4.39,2.74,0,0.964
319,4.39,2.74,0.001,0.97
320,4.39,2.74,0.148,0.968
321,4.39,2.74,0.34,0.962
322,4.39,2.74,0.504,0.965
323,4.39,2.74,0.562,0.978
324,4.53,2.79,0.512,0.984
325,4.53,2.79,0.356,0.977
326,4.53,2.79,0.177,0.951
327,4.53,2.79,0.037,0.926
328,4.53,2.79,0,0.919
329,4.53,2.79,0,0.912
330,4.47,2.77,0,0.914
331,4.47,2.77,0,0.919
332,4.47,2.77,0,0.898
333,4.47,2.77,0,0.82
334,4.47,2.77,0,0.728
335,4.47,2.77,0,0.716
336,4.42,2.74,0,0.732
337,4.42,2.74,0,0.753
338,4.42,2.74,0,0.793
339,4.42,2.74,0,0.814
340,4.42,2.74,0,0.832
341,4.42,2.74,0,0.857
342,4.37,2.73,0,0.913
343,4.37,2.73,0,0.943
344,4.37,2.73,0.067,0.941
345,4.37,2.73,0.139,0.936
346,4.37,2.73,0.167,0.938
347,4.37,2.73,0.193,0.958
348,4.69,2.85,0.31,0.968
349,4.69,2.85,0.32,0.975
350,4.69,2.85,0.222,0.975
351,4.69,2.85,0.082,0.973
352,4.69,2.85,0,0.971
353,4.69,2.85,0,0.969
354,4.53,2.79,0,0.969
355,4.53,2.79,0,0.971
356,4.53,2.79,0,0.973
357,4.53,2.79,0,0.977
358,4.53,2.78,0,0.98
359,4.53,2.78,0,0.981
360,4.45,2.75,0,0.982
361,4.45,2.75,0,0.979
362,4.45,2.75,0,0.973
363,4.45,2.75,0,0.966
364,4.46,2.76,0,0.958
365,4.46,2.76,0,0.943
366,4.37,2.72,0,0.921
367,4.37,2.72,0.001,0.895
368,4.37,2.72,0.115,0.853
369,4.37,2.72,0.321,0.785
370,4.37,2.72,0.435,0.788
371,4.37,2.72,0.422,0.753
372,4.6,2.8,0.364,0.635
373,4.6,2.8,0.213,0.454
374,4.6,2.8,0.125,0.284
375,4.6,2.8,0.025,0.2
376,4.6,2.8,0,0.187
377,4.59,2.8,0,0.207
378,4.49,2.76,0,0.245
379,4.49,2.76,0,0.274
380,4.49,2.76,0,0.289
381,4.49,2.76,0,0.281
382,4.48,2.75,0,0.255
383,4.48,2.75,0,0.231
384,4.43,2.73,0,0.22
385,4.43,2.73,0,0.218
386,4.43,2.73,0,0.221
387,4.43,2.73,0,0.231
388,4.44,2.73,0,0.229
389,4.44,2.73,0,0.227
390,4.38,2.71,0,0.225
391,4.39,2.71,0,0.226
392,4.39,2.72,0.044,0.22
393,4.39,2.72,0.114,0.184
394,4.39,2.72,0.209,0.155
395,4.39,2.72,0.306,0.179
396,4.46,2.74,0.342,0.191
397,4.46,2.74,0.342,0.201
398,4.46,2.75,0.259,0.303
399,4.46,2.74,0.103,0.5
400,4.46,2.74,0,0.604
401,4.46,2.74,0,0.566
402,4.38,2.71,0,0.437
403,4.38,2.71,0,0.45
404,4.37,2.71,0,0.628
405,4.37,2.7,0,0.661
406,4.37,2.7,0,0.61
407,4.37,2.7,0,0.582
408,4.28,2.66,0,0.583
409,4.28,2.66,0,0.578
410,4.28,2.66,0,0.552
411,4.28,2.67,0,0.515
412,4.29,2.67,0,0.448
413,4.29,2.67,0,0.386
414,4.22,2.64,0,0.381
415,4.22,2.64,0,0.405
416,4.22,2.64,0.012,0.448
417,4.22,2.64,0.05,0.455
418,4.22,2.64,0.19,0.644
419,4.22,2.64,0.336,0.751
420,4.36,2.7,0.327,0.758
421,4.36,2.7,0.296,0.729
422,4.36,2.7,0.211,0.663
423,4.36,2.7,0.089,0.56
424,4.36,2.7,0,0.515
425,4.36,2.7,0,0.477
426,4.19,2.63,0,0.417
427,4.19,2.63,0,0.352
428,4.19,2.63,0,0.263
429,4.19,2.62,0,0.2
430,4.18,2.62,0,0.15
431,4.18,2.62,0,0.106
432,4.07,2.58,0,0.075
433,4.07,2.58,0,0.054
434,4.08,2.58,0,0.041
435,4.08,2.58,0,0.036
436,4.08,2.59,0,0.031
437,4.08,2.58,0,0.025
438,3.97,2.53,0,0.019
439,3.97,2.54,0.002,0.012
440,3.97,2.54,0.074,0.003
441,3.97,2.54,0.154,0.011
442,3.97,2.54,0.204,0.043
443,3.97,2.54,0.232,0.08
444,4.38,2.71,0.237,0.112
445,4.38,2.71,0.209,0.137
446,4.38,2.71,0.139,0.159
447,4.38,2.71,0.046,0.16
448,4.38,2.71,0,0.194
449,4.38,2.71,0,0.226
450,4.21,2.64,0,0.238
451,4.21,2.64,0,0.258
452,4.21,2.64,0,0.267
453,4.21,2.64,0,0.269
454,4.21,2.64,0,0.264
455,4.21,2.64,0,0.239
456,4.21,2.64,0,0.209
457,4.21,2.64,0,0.202
458,4.21,2.64,0,0.192
459,4.21,2.64,0,0.182
460,4.21,2.64,0,0.171
461,4.21,2.64,0,0.152
462,4.26,2.65,0,0.132
463,4.26,2.65,0.001,0.111
464,4.27,2.66,0.107,0.088
465,4.27,2.66,0.308,0.074
466,4.27,2.66,0.457,0.049
467,4.26,2.66,0.444,0.026
468,4.76,2.85,0.416,0.008
469,4.76,2.85,0.319,0.01
470,4.76,2.85,0.21,0.014
471,4.76,2.85,0.066,0.029
472,4.76,2.85,0,0.041
473,4.76,2.85,0,0.04
474,4.72,2.83,0,0.039
475,4.72,2.83,0,0.047
476,4.72,2.83,0,0.063
477,4.72,2.83,0,0.083
478,4.72,2.83,0,0.102
479,4.72,2.83,0,0.118
480,4.67,2.81,0,0.131
481,4.67,2.81,0,0.144
482,4.67,2.81,0,0.154
483,4.67,2.81,0,0.163
484,4.67,2.81,0,0.171
485,4.67,2.81,0,0.174
486,4.69,2.82,0,0.163
487,4.69,2.82,0.01,0.149
488,4.69,2.82,0.255,0.112
489,4.69,2.82,0.469,0.071
490,4.69,2.82,0.599,0.064
491,4.69,2.82,0.659,0.047
492,4.9,2.9,0.647,0.03
493,4.9,2.9,0.567,0.021
494,4.9,2.9,0.416,0.017
495,4.9,2.9,0.181,0.016
496,4.9,2.9,0.001,0.02
497,4.9,2.9,0,0.019
498,4.8,2.86,0,0.015
499,4.8,2.86,0,0.013
500,4.8,2.86,0,0.014
501,4.8,2.86,0,0.019
502,4.8,2.86,0,0.022
503,4.8,2.86,0,0.019
504,4.73,2.83,0,0.016
505,4.73,2.83,0,0.017
506,4.73,2.83,0,0.023
507,4.73,2.83,0,0.031
508,4.73,2.83,0,0.042
509,4.73,2.83,0,0.051
510,4.7,2.82,0,0.056
511,4.7,2.82,0.007,0.06
512,4.7,2.82,0.179,0.045
513,4.7,2.82,0.373,0.017
514,4.7,2.82,0.566,0.003
515,4.7,2.82,0.614,0.001
516,4.97,2.91,0.621,0.001
517,4.97,2.91,0.542,0.002
518,4.97,2.91,0.395,0.006
519,4.97,2.91,0.148,0.013
520,4.97,2.91,0,0.027
521,4.97,2.91,0,0.04
522,4.76,2.83,0,0.05
523,4.76,2.83,0,0.061
524,4.76,2.83,0,0.069
525,4.76,2.83,0,0.068
526,4.76,2.83,0,0.067
527,4.76,2.83,0,0.069
528,4.57,2.76,0,0.067
529,4.57,2.76,0,0.058
530,4.57,2.76,0,0.048
531,4.57,2.76,0,0.042
532,4.57,2.76,0,0.041
533,4.57,2.76,0,0.049
534,4.42,2.7,0,0.063
535,4.42,2.7,0,0.065
536,4.42,2.7,0.03,0.058
537,4.42,2.7,0.076,0.049
538,4.42,2.7,0.114,0.045
539,4.42,2.7,0.13,0.054
540,4.84,2.86,0.108,0.074
541,4.84,2.86,0.074,0.092
542,4.84,2.86,0.044,0.104
543,4.84,2.86,0.015,0.115
544,4.84,2.86,0,0.111
545,4.84,2.86,0,0.108
546,4.44,2.71,0,0.113
547,4.44,2.71,0,0.112
548,4.44,2.71,0,0.103
549,4.44,2.71,0,0.092
550,4.44,2.71,0,0.081
551,4.44,2.71,0,0.073
552,4.33,2.66,0,0.076
553,4.33,2.66,0,0.098
554,4.33,2.66,0,0.119
555,4.33,2.66,0,0.138
556,4.33,2.67,0,0.141
557,4.33,2.67,0,0.155
558,4.23,2.62,0,0.199
559,4.23,2.62,0.003,0.258
560,4.23,2.62,0.104,0.319
561,4.24,2.62,0.258,0.389
562,4.24,2.62,0.381,0.443
563,4.23,2.62,0.443,0.521
564,4.56,2.75,0.437,0.593
565,4.56,2.75,0.327,0.65
566,4.56,2.75,0.169,0.685
567,4.56,2.75,0.048,0.686
568,4.56,2.75,0,0.656
569,4.56,2.75,0,0.613
570,4.5,2.72,0,0.567
571,4.5,2.72,0,0.55
572,4.49,2.72,0,0.587
573,4.49,2.72,0,0.602
574,4.49,2.72,0,0.58
575,4.49,2.72,0,0.566
576,4.41,2.68,0,0.538
577,4.41,2.69,0,0.494
578,4.41,2.69,0,0.447
579,4.42,2.69,0,0.426
580,4.42,2.69,0,0.438
581,4.42,2.69,0,0.459
582,4.29,2.64,0,0.493
583,4.29,2.64,0.008,0.505
584,4.29,2.64,0.164,0.435
585,4.3,2.64,0.327,0.578
586,4.3,2.64,0.462,0.711
587,4.29,2.64,0.533,0.748
588,4.42,2.69,0.417,0.743
589,4.42,2.69,0.3,0.744
590,4.42,2.69,0.182,0.728
591,4.42,2.69,0.065,0.695
592,4.42,2.69,0,0.679
593,4.42,2.69,0,0.629
594,4.2,2.61,0,0.599
595,4.2,2.61,0,0.605
596,4.2,2.6,0,0.643
597,4.2,2.6,0,0.692
598,4.2,2.6,0,0.725
599,4.2,2.6,0,0.675
600,3.99,2.52,0,0.659
601,3.99,2.52,0,0.627
602,3.99,2.52,0,0.556
603,3.99,2.52,0,0.55
604,3.99,2.52,0,0.51
605,3.99,2.52,0,0.448
606,3.89,2.47,0,0.419
607,3.89,2.47,0,0.401
608,3.89,2.47,0.022,0.481
609,3.89,2.47,0.049,0.395
610,3.89,2.47,0.103,0.516
611,3.89,2.47,0.082,0.56
612,4.34,2.65,0.073,0.556
613,4.34,2.65,0.059,0.574
614,4.34,2.65,0.038,0.618
615,4.34,2.65,0.014,0.684
616,4.34,2.65,0,0.75
617,4.34,2.65,0,0.768
618,3.99,2.51,0,0.765
619,3.99,2.51,0,0.739
620,3.99,2.51,0,0.69
621,3.99,2.51,0,0.655
622,3.98,2.51,0,0.633
623,3.98,2.51,0,0.626
624,3.8,2.43,0,0.561
625,3.8,2.43,0,0.473
626,3.8,2.43,0,0.367
627,3.8,2.43,0,0.334
628,3.8,2.43,0,0.294
629,3.8,2.43,0,0.294
630,3.8,2.43,0,0.346
631,3.8,2.43,0.011,0.414
632,3.8,2.43,0.133,0.409
633,3.8,2.43,0.205,0.311
634,3.8,2.43,0.269,0.28
635,3.8,2.43,0.328,0.343
636,4.51,2.72,0.321,0.367
637,4.51,2.72,0.246,0.341
638,4.51,2.72,0.141,0.279
639,4.51,2.72,0.046,0.241
640,4.51,2.72,0,0.272
641,4.51,2.72,0,0.294
642,4.44,2.69,0,0.271
643,4.44,2.69,0,0.247
644,4.44,2.69,0,0.221
645,4.44,2.69,0,0.201
646,4.44,2.69,0,0.176
647,4.44,2.69,0,0.164
648,4.44,2.69,0,0.236
649,4.44,2.69,0,0.285
650,4.44,2.69,0,0.276
651,4.44,2.69,0,0.207
652,4.44,2.69,0,0.131
653,4.44,2.69,0,0.25
654,4.52,2.72,0,0.47
655,4.52,2.72,0,0.544
656,4.52,2.72,0.031,0.547
657,4.52,2.72,0.095,0.496
658,4.52,2.72,0.097,0.521
659,4.52,2.72,0.119,0.603
660,4.85,2.84,0.155,0.583
661,4.85,2.84,0.243,0.596
662,4.85,2.84,0.231,0.567
663,4.85,2.84,0.114,0.534
664,4.85,2.84,0.002,0.523
665,4.85,2.84,0,0.49
666,4.77,2.8,0,0.466
667,4.77,2.8,0,0.457
668,4.77,2.8,0,0.461
669,4.77,2.8,0,0.461
670,4.76,2.8,0,0.477
671,4.76,2.8,0,0.512
672,4.5,2.7,0,0.562
673,4.5,2.7,0,0.607
674,4.5,2.7,0,0.661
675,4.5,2.7,0,0.704
676,4.5,2.7,0,0.777
677,4.5,2.7,0,0.779
678,4.56,2.72,0,0.765
679,4.56,2.72,0.016,0.765
680,4.56,2.72,0.175,0.711
681,4.56,2.72,0.321,0.637
682,4.56,2.72,0.437,0.653
683,4.56,2.72,0.52,0.654
684,5.05,2.9,0.501,0.555
685,5.05,2.9,0.411,0.414
686,5.05,2.9,0.281,0.265
687,5.05,2.9,0.118,0.17
688,5.05,2.9,0.003,0.121
689,5.05,2.9,0,0.089
690,5.1,2.92,0,0.068
691,5.1,2.92,0,0.048
692,5.1,2.92,0,0.025
693,5.1,2.92,0,0.007
694,5.1,2.92,0,0.005
695,5.1,2.92,0,0.051
696,5.15,2.93,0,0.145
697,5.15,2.93,0,0.238
698,5.15,2.93,0,0.286
699,5.15,2.93,0,0.291
700,5.15,2.93,0,0.305
701,5.16,2.93,0,0.332
702,5.28,2.98,0,0.374
703,5.28,2.98,0.031,0.402
704,5.28,2.97,0.251,0.363
705,5.28,2.97,0.497,0.333
706,5.28,2.97,0.611,0.507
707,5.28,2.97,0.654,0.582
708,6.08,3.25,0.616,0.558
709,6.08,3.25,0.508,0.505
710,6.08,3.25,0.279,0.422
711,6.08,3.25,0.117,0.373
712,6.08,3.25,0.004,0.46
713,6.08,3.25,0,0.486
714,5.67,3.11,0,0.433
715,5.67,3.11,0,0.345
716,5.67,3.11,0,0.259
717,5.67,3.11,0,0.204
718,5.66,3.1,0,0.156
719,5.66,3.1,0,0.12
720,5.56,3.06,0,0.089
721,5.56,3.07,0,0.065
722,5.56,3.06,0,0.05
723,5.57,3.07,0,0.036
724,5.57,3.07,0,0.025
725,5.57,3.07,0,0.017
726,5.35,2.99,0,0.012
727,5.35,2.99,0.013,0.009
728,5.35,2.99,0.166,0.009
729,5.35,2.99,0.36,0.018
730,5.34,2.99,0.506,0.057
731,5.34,2.99,0.57,0.111
732,6.03,3.23,0.564,0.163
733,6.03,3.23,0.464,0.225
734,6.03,3.23,0.236,0.269
735,6.03,3.23,0.068,0.282
736,6.03,3.23,0.001,0.38
737,6.03,3.23,0,0.464
738,5.61,3.08,0,0.49
739,5.61,3.08,0,0.484
740,5.61,3.08,0,0.485
741,5.61,3.08,0,0.512
742,5.61,3.07,0,0.455
743,5.6,3.07,0,0.425
744,5.41,3,0,0.414
745,5.41,3.01,0,0.425
746,5.41,3,0,0.481
747,5.41,3.01,0,0.533
748,5.42,3.01,0,0.584
749,5.42,3.01,0,0.605
750,5.24,2.95,0,0.586
751,5.24,2.95,0.006,0.559
752,5.24,2.95,0.085,0.55
753,5.24,2.95,0.284,0.588
754,5.24,2.94,0.441,0.647
755,5.23,2.94,0.417,0.704
756,5.63,3.08,0.375,0.727
757,5.63,3.08,0.147,0.692
758,5.63,3.08,0.05,0.68
759,5.63,3.08,0.011,0.704
760,5.63,3.08,0,0.778
761,5.63,3.08,0,0.818
762,5.33,2.98,0,0.843
763,5.33,2.98,0,0.853
764,5.33,2.98,0,0.843
765,5.33,2.98,0,0.833
766,5.33,2.98,0,0.823
767,5.33,2.97,0,0.819
768,5.2,2.93,0,0.812
769,5.2,2.93,0,0.812
770,5.2,2.93,0,0.799
771,5.2,2.93,0,0.777
772,5.2,2.93,0,0.791
773,5.2,2.93,0,0.791
774,5.14,2.91,0,0.813
775,5.14,2.91,0.001,0.778
776,5.14,2.91,0.033,0.72
777,5.14,2.91,0.06,0.675
778,5.14,2.91,0.069,0.678
779,5.14,2.91,0.131,0.734
780,5.19,2.92,0.303,0.724
781,5.19,2.92,0.379,0.652
782,5.19,2.92,0.206,0.552
783,5.19,2.93,0.046,0.59
784,5.19,2.93,0.003,0.601
785,5.2,2.93,0,0.503
786,5.01,2.86,0,0.321
787,5.01,2.86,0,0.177
788,5.01,2.86,0,0.082
789,5.01,2.86,0,0.03
790,5,2.86,0,0.036
791,5,2.85,0,0.09
792,4.86,2.8,0,0.183
793,4.86,2.8,0,0.247
794,4.86,2.8,0,0.245
795,4.86,2.8,0,0.237
796,4.86,2.8,0,0.265
797,4.86,2.8,0,0.272
798,4.61,2.71,0,0.284
799,4.61,2.71,0,0.296
800,4.61,2.71,0.012,0.258
801,4.61,2.71,0.068,0.153
802,4.61,2.71,0.17,0.077
803,4.61,2.71,0.253,0.022
804,4.93,2.83,0.18,0.036
805,4.93,2.83,0.09,0.166
806,4.93,2.83,0.045,0.418
807,4.93,2.83,0.035,0.639
808,4.93,2.83,0.003,0.758
809,4.93,2.83,0,0.806
810,4.74,2.76,0,0.842
811,4.74,2.76,0,0.873
812,4.74,2.76,0,0.893
813,4.74,2.76,0,0.887
814,4.74,2.76,0,0.903
815,4.74,2.76,0,0.887
816,4.62,2.7,0,0.869
817,4.62,2.7,0,0.845
818,4.62,2.7,0,0.826
819,4.62,2.71,0,0.817
820,4.62,2.71,0,0.793
821,4.63,2.71,0,0.761
822,4.71,2.74,0,0.715
823,4.71,2.74,0.039,0.648
824,4.71,2.74,0.226,0.557
825,4.71,2.74,0.364,0.679
826,4.71,2.74,0.436,0.694
827,4.71,2.74,0.457,0.645
828,5.07,2.88,0.391,0.574
829,5.07,2.88,0.338,0.505
830,5.07,2.88,0.264,0.437
831,5.08,2.88,0.1,0.295
832,5.08,2.88,0.009,0.219
