ex07_plant_wind_availability_factor,ex07_demand1_value,ex07_demand2_value,ex08_pv,ex08_demand,ex15_cop,ex15_cop_minconversion,ex15_heatdemand,ex17_capacity
0.18,1.76,4.57,,,1.99,1.393,79,
0.26,1.31,2.76,,,1.99,1.393,76,
0.6,0.57,3.32,,,2.12,1.484,73,
0.47,3.9,1.47,,,2.12,1.484,72,
0.44,0.78,1.23,,,2.12,1.484,73,
0.65,1.43,4.6,,,2.12,1.484,74,
0.73,4.23,4.77,,,2.12,1.484,77,
0.46,2.85,0.75,,,2.12,1.484,78,
0.79,1.27,1.59,,,2.04,1.428,77,
0.75,1.64,2.88,,,2.04,1.428,77,
0.55,4.23,0.28,,,2.04,1.428,74,
0.55,3.27,0.11,,,2.04,1.428,68,
0.05,3.61,4.76,,,2.04,1.428,58,
0.83,2.79,4.61,,,2.04,1.428,50,
0.81,4.7,1.85,,,2.04,1.428,49,
0.83,4.55,3.59,,,2.04,1.428,49,
0.61,1.11,4.1,,,2.04,1.428,50,
0.71,4.91,4.66,,,2.04,1.428,53,
0.97,3.04,2.31,,,2.04,1.428,58,
0.12,4.14,3.15,,,2.04,1.428,75,
0.39,3.15,2.06,,,2.02,1.414,91,
0.08,1.24,1.34,,,2.02,1.414,87,
0.25,2.04,2.42,,,2.02,1.414,87,
0.17,0.92,4.26,,,2.02,1.414,83,
0.27,2.57,4.67,,,2.02,1.414,79,
0.97,3.86,2.27,,,2.02,1.414,76,
0.63,3.05,3.19,,,2.14,1.498,74,
0.3,3.17,0.86,,,2.14,1.498,73,
0.67,4.51,3.28,,,2.14,1.498,73,
0.13,2.98,3.44,,,2.14,1.498,75,
0.77,4.99,1.93,,,2.14,1.498,78,
0.05,4.38,3.13,,,2.14,1.498,79,
0.93,2.08,4.93,,,2.09,1.463,78,
0.9,3.89,3.93,,,2.09,1.463,77,
0.97,3.82,1.61,,,2.09,1.463,75,
0.36,2.19,1.66,,,2.09,1.463,69,
0,4.15,4.46,,,2.09,1.463,59,
0.11,1.8,2.87,,,2.09,1.463,50,
0.27,0.19,1.45,,,2.07,1.449,47,
0.17,2.73,4.51,,,2.07,1.449,47,
0.65,1.45,1,,,2.07,1.449,49,
0.49,0.6,2.95,,,2.07,1.449,51,
0.03,0.27,3.49,,,2.07,1.449,56,
0.4,2.73,0.77,,,2.07,1.449,73,
0.88,1.15,4.81,,,2.06,1.442,90,
0.1,4.25,1,,,2.06,1.442,86,
0.1,2.84,0.42,,,2.06,1.442,86,
0.27,2.23,0.47,,,2.06,1.442,82,
0.8,1.76,1.76,,,2.06,1.442,79,
0.14,0.56,2.79,,,2.06,1.442,76,
0.83,1.71,3.43,,,2.17,1.519,74,
0.19,0.42,4.43,,,2.17,1.519,72,
0.67,4.36,2.97,,,2.17,1.519,73,
0.48,3.99,3.78,,,2.17,1.519,74,
0.94,1.49,4.39,,,2.17,1.519,77,
0.17,3.27,1.35,,,2.17,1.519,78,
0.12,3.7,1.49,,,2.1,1.47,78,
0.23,3.55,2.97,,,2.1,1.47,76,
0.14,1.49,1.8,,,2.1,1.47,74,
0.68,2.47,4.6,,,2.1,1.47,67,
0.57,2.57,1.92,,,2.1,1.47,57,
0.61,2.93,1.6,,,2.1,1.47,49,
0.02,0.17,0.88,,,2.06,1.442,45,
0.6,2.14,3.05,,,2.06,1.442,46,
0.95,1.54,1.53,,,2.06,1.442,47,
0.25,0.1,1.89,,,2.06,1.442,49,
0.84,0.34,3,,,2.06,1.442,55,
0.16,3.76,1.47,,,2.06,1.442,73,
0.9,3.06,3.06,,,2.05,1.435,86,
0.28,1.11,3.73,,,2.05,1.435,82,
0.76,1.03,0.72,,,2.05,1.435,81,
0.05,3.51,3.35,,,2.05,1.435,78,
0.41,3.75,4.53,,,2.05,1.435,75,
0.52,1.45,3.64,,,2.05,1.435,73,
0.54,4.88,1.55,,,2.17,1.519,71,
0.78,4.17,3.85,,,2.17,1.519,70,
0.36,1.55,1.08,,,2.17,1.519,70,
0.52,4.05,4.12,,,2.17,1.519,70,
0.4,0.46,3.31,,,2.17,1.519,73,
0.55,0.46,2.5,,,2.17,1.519,75,
0.68,2.41,0.4,,,2.15,1.505,75,
0.23,3.3,4.11,,,2.15,1.505,74,
0.43,3.52,0.85,,,2.15,1.505,72,
0.79,2.37,0.06,,,2.15,1.505,65,
0.49,2.49,0.84,,,2.15,1.505,55,
0.59,2.53,4.11,,,2.15,1.505,47,
0.35,4.01,0.44,,,2.14,1.498,42,
0.59,0.55,1.39,,,2.14,1.498,43,
0.06,3.3,4.65,,,2.14,1.498,44,
0.92,0.14,0.93,,,2.14,1.498,46,
0.45,1.58,2.37,,,2.14,1.498,52,
0.35,0.46,0.78,,,2.14,1.498,70,
0.93,4.87,3.17,,,2.19,1.533,78,
0.72,3.9,2.8,,,2.19,1.533,74,
0.11,1.26,0.56,,,2.19,1.533,73,
0.9,0.22,3.77,,,2.19,1.533,71,
0.96,0.34,0.89,,,2.19,1.533,68,
0.05,1.5,0.31,,,2.19,1.533,67,
0.43,3.18,4.49,,,2.28,1.596,65,
0.33,4.43,0.31,,,2.28,1.596,64,
0.32,2.07,0.5,,,2.28,1.596,65,
0.18,4.61,4.9,,,2.28,1.596,66,
0.78,3.57,1.09,,,2.28,1.596,68,
0.34,2.38,1.97,,,2.28,1.596,70,
0.41,0.34,2.26,,,2.27,1.589,70,
0.22,2.95,3.88,,,2.27,1.589,69,
0.67,4.3,0.34,,,2.27,1.589,67,
0.72,1.24,0.86,,,2.27,1.589,62,
0.48,0.47,4.8,,,2.27,1.589,51,
0.2,2.9,4.01,,,2.27,1.589,44,
0.99,4.87,1.38,,,2.22,1.554,39,
0.2,1.69,1.03,,,2.22,1.554,40,
0.23,3.3,2.88,,,2.22,1.554,41,
0.97,0.57,1.7,,,2.22,1.554,44,
0.49,4.69,2.15,,,2.22,1.554,49,
0.17,1.17,2.54,,,2.22,1.554,64,
0.67,2.75,0.88,,,2.17,1.519,75,
0.35,3.39,1.97,,,2.17,1.519,73,
0.67,4.77,0.15,,,2.17,1.519,73,
0.85,4.27,4.13,,,2.17,1.519,71,
0.54,0.12,3.45,,,2.17,1.519,68,
0.25,2.26,1.97,,,2.17,1.519,65,
0.22,2.86,2.11,,,2.32,1.624,63,
0.02,4.99,1.7,,,2.32,1.624,63,
0.47,1.49,2.61,,,2.32,1.624,63,
0.77,1.24,4.73,,,2.32,1.624,63,
0.95,0.59,1.84,,,2.32,1.624,65,
0.09,3.77,1.69,,,2.32,1.624,67,
0.4,3.27,3.53,,,2.32,1.624,67,
0.35,0.74,4.71,,,2.32,1.624,66,
0.14,4.59,3.92,,,2.32,1.624,63,
0.79,0.43,3.07,,,2.32,1.624,58,
0.37,4.48,1.73,,,2.32,1.624,48,
0.3,2.43,3.86,,,2.32,1.624,41,
0.89,0.51,3.63,,,2.25,1.575,36,
0.64,2.97,2.57,,,2.25,1.575,38,
0.14,1.77,4.6,,,2.25,1.575,39,
0.77,2.08,3.94,,,2.25,1.575,41,
0.2,2.55,2.95,,,2.25,1.575,47,
0.79,3.93,2.61,,,2.25,1.575,62,
0.21,1.68,1.5,,,2.17,1.519,74,
0.74,4.3,3.85,,,2.17,1.519,72,
0.81,2.45,2.93,,,2.17,1.519,71,
0.13,0.87,2.8,,,2.17,1.519,68,
0.53,1.94,1.14,,,2.17,1.519,65,
0.66,0.8,3.88,,,2.17,1.519,62,
0.69,0.53,0.1,,,2.41,1.687,61,
0.22,1.2,3.26,,,2.41,1.687,60,
0.81,0.94,0.02,,,2.41,1.687,61,
0.62,2.34,3.33,,,2.41,1.687,62,
0.73,1.34,0.42,,,2.41,1.687,64,
0.12,1.82,2.51,,,2.41,1.687,65,
0.86,1.74,3.16,,,2.19,1.533,65,
0.38,0.16,0.38,,,2.19,1.533,64,
0.79,2.87,1.12,,,2.19,1.533,62,
0.35,2.8,1.21,,,2.19,1.533,56,
0.05,0.55,4.8,,,2.19,1.533,45,
0.46,4.88,0.19,,,2.19,1.533,38,
0.78,1.66,0.56,,,2.12,1.484,38,
0.06,2.83,3.89,,,2.12,1.484,40,
0.17,3.14,0.72,,,2.12,1.484,41,
0.15,3.06,4.12,,,2.12,1.484,43,
0.76,3.5,1.95,,,2.12,1.484,49,
0.09,1.69,2.23,,,2.12,1.484,65,
0.95,2.39,4.43,,,2.11,1.477,76,
0.79,4.71,2.25,,,2.11,1.477,74,
0.36,1.15,4.11,,,2.11,1.477,74,
0.85,4.57,0.74,,,2.11,1.477,71,
0.2,3.68,0.63,,,2.11,1.477,68,
0.77,2.48,2.67,,,2.11,1.477,65,
0.55,4.12,2.13,,,2.26,1.582,63,
0.2,3.14,1.78,,,2.26,1.582,63,
0.18,3.94,1.12,,,2.26,1.582,63,
0.88,3.51,2.19,,,2.26,1.582,64,
0.55,4.17,3.34,,,2.26,1.582,66,
0.57,4.34,4.23,,,2.26,1.582,67,
0.27,3.28,3.27,,,2.22,1.554,67,
0.59,1.85,2.6,,,2.22,1.554,66,
0.27,0.33,4.42,,,2.22,1.554,64,
0.1,3.2,0.9,,,2.22,1.554,58,
0.36,1.37,0.78,,,2.22,1.554,47,
0.71,3.61,0.56,,,2.22,1.554,40,
0.26,3.69,2.63,,,2.2,1.54,38,
0.07,1,1.57,,,2.2,1.54,39,
0.6,3.52,3.4,,,2.2,1.54,40,
0.82,4.28,4.74,,,2.2,1.54,43,
0.68,3.76,3.72,,,2.2,1.54,48,
0.55,4.53,0.91,,,2.2,1.54,64,
0.4,2.29,2.17,,,2.16,1.512,76,
0.07,2.54,1.18,,,2.16,1.512,74,
0.38,0.33,1.29,,,2.16,1.512,73,
0.58,0.95,1.91,,,2.16,1.512,70,
0.75,0.34,3.41,,,2.16,1.512,67,
0.53,4.43,1.79,,,2.16,1.512,65,
0.91,2.72,2.68,,,2.34,1.638,63,
0.81,3.54,3.24,,,2.34,1.638,62,
0.56,1.67,3.19,,,2.34,1.638,63,
0.09,0.43,5,,,2.34,1.638,64,
0.79,3.47,4.24,,,2.34,1.638,66,
0.86,4.23,3.77,,,2.34,1.638,67,
0.28,1.47,3.78,,,2.2,1.54,67,
0.4,1.26,3.23,,,2.2,1.54,66,
0.47,0.71,3.37,,,2.2,1.54,64,
0.14,3.47,3.59,,,2.2,1.54,58,
0.87,0.43,0.31,,,2.2,1.54,47,
0.3,1.95,1.4,,,2.2,1.54,39,
0.7,3.33,2.5,,,2.14,1.498,39,
0.9,2.58,0.49,,,2.14,1.498,40,
0.39,2.27,2.8,,,2.14,1.498,41,
0,1.66,3.04,,,2.14,1.498,43,
0.14,0.41,4.84,,,2.14,1.498,49,
0.29,0.05,4.05,,,2.14,1.498,65,
0.82,2.5,4.86,,,2.11,1.477,78,
0.17,2.65,3.14,,,2.11,1.477,75,
0.29,3.74,2.26,,,2.11,1.477,75,
0.37,2.12,1.77,,,2.11,1.477,72,
0.67,1.42,1.93,,,2.11,1.477,69,
0.54,0.23,2.54,,,2.11,1.477,66,
0.4,3.95,1.67,,,2.29,1.603,64,
0.95,1.14,0.6,,,2.29,1.603,63,
0.3,4.67,1.72,,,2.29,1.603,64,
0.76,1.29,2.25,,,2.29,1.603,65,
0.6,2.29,2.09,,,2.29,1.603,67,
0.11,1.17,4.74,,,2.29,1.603,68,
0.21,4.73,2.4,,,2.23,1.561,68,
0.69,0.92,0.42,,,2.23,1.561,67,
0.4,4.66,0.88,,,2.23,1.561,65,
0.42,4.7,0.86,,,2.23,1.561,59,
0.88,0.43,2.58,,,2.23,1.561,48,
0.98,3.5,0.16,,,2.23,1.561,40,
0.32,4.12,1.7,,,2.27,1.589,34,
0.83,0.84,2.5,,,2.27,1.589,34,
0.09,2.53,3.69,,,2.27,1.589,35,
0.29,0.61,1.4,,,2.27,1.589,38,
0.73,3.54,4.29,,,2.27,1.589,43,
0.18,3.52,2.08,,,2.27,1.589,59,
0.59,0.76,2.93,,,2.3,1.61,70,
0.2,1.61,4.87,,,2.3,1.61,67,
0.46,2.97,0.28,,,2.3,1.61,65,
0.41,0.28,1.19,,,2.3,1.61,63,
0.35,3.04,4.55,,,2.3,1.61,60,
0.74,4.59,3.32,,,2.3,1.61,58,
0.53,1.56,3.68,,,2.45,1.715,56,
0.55,2.84,1.04,,,2.45,1.715,55,
0.79,0.78,3.91,,,2.45,1.715,55,
0.98,0.9,3.06,,,2.45,1.715,56,
0.36,0.01,0.44,,,2.45,1.715,58,
0.92,3.54,3.04,,,2.45,1.715,60,
0.19,0.74,1.56,,,2.32,1.624,61,
0.52,3.42,3.93,,,2.32,1.624,60,
0.71,3.58,2.1,,,2.32,1.624,58,
1,3.39,0.54,,,2.32,1.624,53,
0.26,3.82,2.66,,,2.32,1.624,43,
0.07,4.32,2.21,,,2.32,1.624,36,
0.89,1.05,1.07,,,2.3,1.61,33,
0.99,3.85,2.83,,,2.3,1.61,34,
0.27,2.64,0.79,,,2.3,1.61,34,
0.88,4.34,2.68,,,2.3,1.61,37,
0.76,0.69,0.26,,,2.3,1.61,44,
0.17,2.28,2.58,,,2.3,1.61,60,
0.82,0.44,3.48,,,2.28,1.596,66,
0.72,3.35,0.54,,,2.28,1.596,62,
0.33,4.9,3.58,,,2.28,1.596,61,
0.19,0.58,3.25,,,2.28,1.596,59,
0.94,3.57,2.69,,,2.28,1.596,56,
0.24,3.08,2.25,,,2.28,1.596,55,
0.2,1.8,3.19,,,2.36,1.652,53,
0.87,0.19,3.75,,,2.36,1.652,53,
0.41,1.67,4.75,,,2.36,1.652,54,
0.9,2.95,0.55,,,2.36,1.652,55,
0.35,3.21,0.18,,,2.36,1.652,56,
0.77,2.9,4.85,,,2.36,1.652,59,
0.87,4.3,1.35,,,2.3,1.61,59,
0.28,1.21,4.19,,,2.3,1.61,59,
0.65,4.1,1.62,,,2.3,1.61,57,
0.2,3.61,1.3,,,2.3,1.61,52,
0.16,4.36,4.53,,,2.3,1.61,42,
0.68,3.3,2.39,,,2.3,1.61,35,
0.77,2.52,0.03,,,2.26,1.582,33,
0.82,4.47,0.13,,,2.26,1.582,34,
0.23,0.73,0.47,,,2.26,1.582,35,
0.61,3.47,2.41,,,2.26,1.582,38,
0.74,1.4,2.1,,,2.26,1.582,43,
0.44,4.3,1.36,,,2.26,1.582,58,
0.45,2.61,3.72,,,2.24,1.568,69,
0.77,2.8,4.98,,,2.24,1.568,67,
0.78,1.1,0.83,,,2.24,1.568,65,
0.89,3.64,3.05,,,2.24,1.568,63,
0.18,2.99,1.17,,,2.24,1.568,60,
0.12,3.61,4.92,,,2.24,1.568,58,
0.4,1.96,2.19,,,2.36,1.652,56,
0.76,4.53,1.53,,,2.36,1.652,56,
0.92,3.9,1.39,,,2.36,1.652,56,
0.6,2.09,3.28,,,2.36,1.652,57,
0.6,0.28,1.78,,,2.36,1.652,59,
0.81,3.14,3,,,2.36,1.652,61,
0.77,3.17,4.97,,,2.28,1.596,61,
0.99,4.47,4.84,,,2.28,1.596,60,
0.66,4.16,3.56,,,2.28,1.596,58,
0.01,2.76,1.06,,,2.28,1.596,53,
0.06,0.48,0.42,,,2.28,1.596,42,
0.61,3.52,4.69,,,2.28,1.596,35,
0.34,3.47,3.91,,,2.24,1.568,34,
0.6,2.94,4.17,,,2.24,1.568,35,
0.36,3.2,2.75,,,2.24,1.568,36,
0.03,3.01,2.1,,,2.24,1.568,38,
0.26,4.94,3.42,,,2.24,1.568,44,
0.26,2.11,3.48,,,2.24,1.568,59,
0.61,0.84,3.49,,,2.22,1.554,69,
0.05,1.13,2.28,,,2.22,1.554,68,
0.34,1.24,0.85,,,2.22,1.554,66,
0.25,1.71,2.98,,,2.22,1.554,64,
0.72,3.85,2.48,,,2.22,1.554,61,
0.86,0.72,0.47,,,2.22,1.554,58,
0.74,2.46,1.7,,,2.35,1.645,57,
0.33,2.7,4.93,,,2.35,1.645,56,
0.78,2.15,4.14,,,2.35,1.645,57,
0.21,0.34,4.76,,,2.35,1.645,58,
0.78,1.39,3.86,,,2.35,1.645,60,
0.7,3.45,1.39,,,2.35,1.645,61,
0.12,0.72,1.38,,,2.28,1.596,61,
0.31,1.83,3.29,,,2.28,1.596,60,
0,2.16,0.57,,,2.28,1.596,58,
0.81,3.39,4.31,,,2.28,1.596,53,
0.1,0.82,0.54,,,2.28,1.596,42,
0.71,4.15,1.38,,,2.28,1.596,35,
0.8,2.55,2.38,,,2.29,1.603,31,
0.43,4.59,2.86,,,2.29,1.603,33,
0.85,3.94,2.42,,,2.29,1.603,33,
0.38,1.98,2.75,,,2.29,1.603,36,
0.41,1.94,3.27,,,2.29,1.603,41,
0.77,5,0.19,,,2.29,1.603,55,
0.64,1,0.44,,,2.31,1.617,65,
0.52,2.58,3.39,,,2.31,1.617,64,
0.4,3.3,0.08,,,2.31,1.617,63,
0.23,4.78,3.37,,,2.31,1.617,60,
0.76,3.37,1.91,,,2.31,1.617,57,
0.33,2.3,4.11,,,2.31,1.617,55,
0.69,3.5,1.99,,,2.43,1.701,53,
0.69,4.03,3.2,,,2.43,1.701,53,
0.99,3.35,3.53,,,2.43,1.701,53,
0.44,0.51,1.99,,,2.43,1.701,54,
0.83,0.37,3.56,,,2.43,1.701,56,
0.21,4.73,2.38,,,2.43,1.701,58,
0.32,0.53,0.19,,,2.38,1.666,58,
0.23,2.91,1.69,,,2.38,1.666,57,
0.13,4.08,1.27,,,2.38,1.666,55,
0.64,2.16,0.82,,,2.38,1.666,50,
0.76,2.76,3.07,,,2.38,1.666,40,
0.25,3.87,2.84,,,2.38,1.666,33,
0.12,3.77,2.11,,,2.32,1.624,31,
0.29,0.83,0.2,,,2.32,1.624,32,
0.29,2.35,1.6,,,2.32,1.624,33,
0.03,2.35,0.53,,,2.32,1.624,36,
0.04,1.39,1.25,,,2.32,1.624,41,
0.82,0,3.73,,,2.32,1.624,55,
0.37,0.24,4.68,,,2.31,1.617,65,
0.6,4.43,3.79,,,2.31,1.617,63,
0.91,0.28,1.01,,,2.31,1.617,62,
0.58,4.21,4.6,,,2.31,1.617,60,
0.64,2.45,3.78,,,2.31,1.617,57,
0.97,1.79,3.51,,,2.31,1.617,55,
0.71,0.94,4.39,,,2.37,1.659,53,
0.17,1.89,4.85,,,2.37,1.659,53,
0.49,2.93,0.17,,,2.37,1.659,53,
0.35,2.5,3.62,,,2.37,1.659,54,
0.65,0.67,4.11,,,2.37,1.659,56,
0.96,4.93,4.38,,,2.37,1.659,57,
0.41,3.35,0.11,,,2.32,1.624,57,
0.59,2.02,1.49,,,2.32,1.624,56,
0.27,4.17,2.71,,,2.32,1.624,55,
0.6,3.25,1.21,,,2.32,1.624,50,
0.87,3.35,2.45,,,2.32,1.624,40,
0.6,4.09,2.31,,,2.32,1.624,33,
0.36,2.96,2.94,,,2.31,1.617,29,
0.4,2.37,3.55,,,2.31,1.617,30,
0.73,0.52,4.87,,,2.31,1.617,31,
0.89,3.04,1.47,,,2.31,1.617,33,
0.39,4.41,0.43,,,2.31,1.617,39,
0.85,3.68,3.81,,,2.31,1.617,53,
0.96,1.53,1.74,,,2.31,1.617,64,
0.82,0.5,2.15,,,2.31,1.617,62,
0.44,0.34,2.84,,,2.31,1.617,60,
0.5,1.73,2.29,,,2.31,1.617,57,
0.75,4.18,4.77,,,2.31,1.617,55,
0.73,4.61,1.09,,,2.31,1.617,52,
0.94,4.12,3.89,,,2.46,1.722,51,
0.23,2.43,3.91,,,2.46,1.722,50,
0.72,3.29,3.65,,,2.46,1.722,50,
0.94,1.94,1.31,,,2.46,1.722,51,
0.76,3.94,3.86,,,2.46,1.722,53,
0.78,3.44,2.31,,,2.46,1.722,55,
0.96,4.8,3.42,,,2.38,1.666,55,
0.44,1.29,2.35,,,2.38,1.666,55,
0.65,0.62,3.36,,,2.38,1.666,53,
0.81,1.97,2.34,,,2.38,1.666,48,
1,4.06,2.86,,,2.38,1.666,38,
0.01,1.86,4.26,,,2.38,1.666,31,
0.5,2.87,1.42,,,2.36,1.652,25,
0.59,1.96,4.66,,,2.36,1.652,26,
0,0.14,0.63,,,2.36,1.652,27,
0.29,0.09,2.87,,,2.36,1.652,29,
0.96,3.49,4.92,,,2.36,1.652,35,
0.36,3.58,0.92,,,2.36,1.652,48,
0.6,4.74,2.87,,,2.38,1.666,57,
0.68,0.52,1.09,,,2.38,1.666,55,
0.96,2.69,1.38,,,2.38,1.666,53,
0.27,0.06,4.55,,,2.38,1.666,50,
0.34,2.45,0.27,,,2.38,1.666,47,
0.75,4,1.26,,,2.38,1.666,46,
0.35,4.86,2.88,,,2.54,1.778,44,
0.31,3.83,0.69,,,2.54,1.778,43,
0.22,1.82,2.07,,,2.54,1.778,43,
0.97,1.61,1.08,,,2.54,1.778,44,
0.08,2.56,1.75,,,2.54,1.778,46,
0.34,3.52,4,,,2.54,1.778,49,
0.66,1.52,2.33,,,2.48,1.736,49,
0.22,2.76,0.02,,,2.48,1.736,49,
0.2,2.83,4.46,,,2.48,1.736,48,
0.62,1.11,4.78,,,2.48,1.736,43,
0.45,3.85,1.47,,,2.48,1.736,34,
0.23,2.41,0.36,,,2.48,1.736,28,
0.43,0.09,1.98,,,2.47,1.729,23,
0.86,0.91,0.92,,,2.47,1.729,25,
0.91,0.26,0.29,,,2.47,1.729,24,
0.08,2.7,1.26,,,2.47,1.729,27,
0.75,2.38,0.59,,,2.47,1.729,33,
0,2.54,3.59,,,2.47,1.729,46,
0.36,4.1,1.52,,,2.43,1.701,51,
0.6,2.08,0.32,,,2.43,1.701,48,
0.1,1.59,0.12,,,2.43,1.701,46,
0.49,2.97,0.15,,,2.43,1.701,44,
0.02,2.54,3.27,,,2.43,1.701,41,
0.85,4.36,1.09,,,2.43,1.701,40,
0.95,2.59,2.74,,,2.62,1.834,39,
0.42,3.42,4.61,,,2.62,1.834,38,
0.39,1.63,3.24,,,2.62,1.834,39,
0.86,1.11,0.81,,,2.62,1.834,40,
0.86,4.52,4.3,,,2.62,1.834,42,
0.75,2.56,1.63,,,2.62,1.834,44,
0.41,1.32,2.24,,,2.45,1.715,45,
0.21,2.18,4.92,,,2.45,1.715,45,
0.31,1.93,3.16,,,2.45,1.715,44,
0.06,4.98,0.62,,,2.45,1.715,40,
0.79,1.37,3.79,,,2.45,1.715,32,
0.23,4.74,0.43,,,2.45,1.715,26,
0.78,2.79,1.76,,,2.37,1.659,25,
0.82,3.82,1.86,,,2.37,1.659,26,
0.95,1.07,2.36,,,2.37,1.659,27,
0.37,0.12,4.44,,,2.37,1.659,29,
0.29,4.68,1.72,,,2.37,1.659,34,
0.76,1.3,1.15,,,2.37,1.659,46,
0.4,3.59,1.78,,,2.31,1.617,54,
0.49,3.87,1.55,,,2.31,1.617,53,
0.09,2.11,1.59,,,2.31,1.617,51,
0.35,4.77,1.51,,,2.31,1.617,49,
0.3,2.17,4.14,,,2.31,1.617,47,
0.02,0.01,1.44,,,2.31,1.617,44,
0.08,3.99,4.78,,,2.57,1.799,43,
0.43,0.4,1.56,,,2.57,1.799,43,
0.25,1.25,2.99,,,2.57,1.799,43,
0.07,3.25,2.89,,,2.57,1.799,44,
0.61,0.63,0.38,,,2.57,1.799,46,
0.24,1.39,1.57,,,2.57,1.799,47,
0.75,3.42,0.19,,,2.36,1.652,48,
0.75,3.67,3.81,,,2.36,1.652,47,
0.5,0.76,1.61,,,2.36,1.652,46,
0.58,4.77,0.07,,,2.36,1.652,41,
0.07,2.5,0.68,,,2.36,1.652,33,
0.34,4.46,3.47,,,2.36,1.652,27,
0.18,2.36,1.62,,,2.3,1.61,27,
0.92,4.53,3.74,,,2.3,1.61,28,
0.18,1.96,0.79,,,2.3,1.61,28,
0.36,0.22,1.55,,,2.3,1.61,31,
0.13,4.44,4.7,,,2.3,1.61,36,
0.9,2.75,1.83,,,2.3,1.61,49,
0.73,0.98,1.31,,,2.39,1.673,58,
0.89,4.31,1.69,,,2.39,1.673,57,
0.6,3.17,2.32,,,2.39,1.673,55,
0.55,4.67,3.76,,,2.39,1.673,53,
0.52,4.93,1.44,,,2.39,1.673,50,
0.97,2.28,3.33,,,2.39,1.673,48,
0.14,1.64,0.84,,,2.48,1.736,46,
0.2,4.36,4.09,,,2.48,1.736,46,
0.6,2.45,0.29,,,2.48,1.736,46,
0.7,2.72,1.35,,,2.48,1.736,47,
0.75,3.45,0.83,,,2.48,1.736,49,
0.39,1.25,3.95,,,2.48,1.736,50,
0.02,2.76,0.4,,,2.27,1.589,51,
0.78,4.1,0.9,,,2.27,1.589,50,
0.83,0.86,2.33,,,2.27,1.589,49,
0.71,1,1.73,,,2.27,1.589,44,
0.03,3.99,0.95,,,2.27,1.589,35,
0.85,4.27,0.32,,,2.27,1.589,28,
0.44,4.95,3.08,,,2.22,1.554,33,
0.64,3.48,0.27,,,2.22,1.554,34,
0.27,4.85,3.54,,,2.22,1.554,35,
0.51,4.14,3.97,,,2.22,1.554,37,
0.8,3.2,3.19,,,2.22,1.554,42,
0.11,2.98,1.18,,,2.22,1.554,56,
0.67,0.28,3.75,,,2.18,1.526,67,
0.81,3.76,4.49,,,2.18,1.526,65,
0.68,1.85,3.62,,,2.18,1.526,64,
0.3,3.08,1.83,,,2.18,1.526,62,
0.44,4.87,0.43,,,2.18,1.526,59,
0.32,4.15,2.05,,,2.18,1.526,56,
0.14,2.92,1.39,,,2.32,1.624,55,
0.14,4.2,1.7,,,2.32,1.624,54,
0.48,1.5,0.48,,,2.32,1.624,55,
0.04,4.34,4.32,,,2.32,1.624,56,
0.84,1.61,4.05,,,2.32,1.624,58,
0.4,4.27,4.44,,,2.32,1.624,59,
0.58,2.33,0.53,,,2.17,1.519,59,
0.35,1.87,1.3,,,2.17,1.519,58,
